Country,Resource,Quantity,Unit,Sector,Urgency,Time to ship from Canada to Country (days),Date Resource is Required by (yyyy-mm-dd),Key
Åland Islands,Refined petroleum products (fuels and lubricants),114771.93936086183,gallon,Energy,0.13,8,2023-05-29,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Åland Islands,Biofuels,30216.02563,L,Energy,0.15,8,2023-05-20,Biofuels_Energy
Åland Islands,Services and custom work,13925.52,hr,Forestry,0.1,3,2023-05-16,Services_and_custom_work_Forestry
Åland Islands,Services,25014.0,hr,Energy,0.1,3,2023-05-02,Services_Energy
Åland Islands,Services and custom work,68425200.0,hr,Minerals and mining,0.05,13,2023-05-19,Services_and_custom_work_Minerals_and_mining
Åland Islands,Bioenergy and biofuel (from forestry biomass),9088.0,gallon,Forestry,0.13,0,2023-05-23,Bioenergy_and_biofuel_(from_forestry_biomass)_Forestry
Åland Islands,Primary forestry bioproducts,8475.0,metric_ton,Forestry,0.03,11,2023-05-21,Primary_forestry_bioproducts_Forestry
Åland Islands,Bioenergy,7999.999999999999,kWh,Energy,0.08,3,2023-05-13,Bioenergy_Energy
Åland Islands,Crude oil,2760393.0,L,Energy,0.04,4,2023-05-12,Crude_oil_Energy
Åland Islands,Natural gas,518933.60986948386,cubic_feet,Energy,0.04,6,2023-05-22,Natural_gas_Energy
Åland Islands,Primary manufacturing,49280.0,kWh,Minerals and mining,0.03,2,2023-05-14,Primary_manufacturing_Minerals_and_mining
Åland Islands,Secondary paper products,239544.0,metric_ton,Forestry,0.12,4,2023-05-19,Secondary_paper_products_Forestry
Algeria,Services,325026.0,hr,Forestry,0.64,8,2023-05-29,Services_Forestry
Algeria,Crude oil,14313.009727999999,L,Energy,0.36,2,2023-05-05,Crude_oil_Energy
American Samoa,Bioenergy and biofuel (from forestry biomass),6416.705191775791,gallon,Forestry,0.0299999999999997,0,2023-05-29,Bioenergy_and_biofuel_(from_forestry_biomass)_Forestry
American Samoa,Primary manufacturing,221854.0,kWh,Minerals and mining,0.09,2,2023-05-27,Primary_manufacturing_Minerals_and_mining
American Samoa,Refined petroleum products (fuels and lubricants),308389.66389373934,gallon,Energy,0.08,0,2023-05-05,Refined_petroleum_products_(fuels_and_lubricants)_Energy
American Samoa,Extraction,2499941.6886,ton,Minerals and mining,0.01,3,2023-05-29,Extraction_Minerals_and_mining
American Samoa,Non-metallic minerals,179164.0,metric_ton,Minerals and mining,0.09,3,2023-05-15,Non_metallic_minerals_Minerals_and_mining
American Samoa,Secondary paper products,211362.68,metric_ton,Forestry,0.03,3,2023-05-20,Secondary_paper_products_Forestry
American Samoa,Tertiary metal products,304528.968224,ton,Minerals and mining,0.02,4,2023-05-02,Tertiary_metal_products_Minerals_and_mining
American Samoa,Crude oil,2089393.0,L,Energy,0.1,4,2023-05-12,Crude_oil_Energy
American Samoa,Miscellaneous metal products,322800.0,kg,Minerals and mining,0.04,2,2023-05-10,Miscellaneous_metal_products_Minerals_and_mining
American Samoa,Metallic minerals,262597.01,metric_ton,Minerals and mining,0.11,8,2023-05-25,Metallic_minerals_Minerals_and_mining
American Samoa,Coal,96573.50250225975,short_ton,Minerals and mining,0.01,13,2023-05-19,Coal_Minerals_and_mining
American Samoa,Biofuels,6145.0,L,Energy,0.07,0,2023-05-25,Biofuels_Energy
American Samoa,Services,169753.0,hr,Forestry,0.12,0,2023-05-21,Services_Forestry
American Samoa,Other bioproducts (from forestry biomass),480.0,kg,Forestry,0.01,4,2023-05-17,Other_bioproducts_(from_forestry_biomass)_Forestry
American Samoa,Services and custom work,18838.0,hr,Forestry,0.04,3,2023-05-24,Services_and_custom_work_Forestry
American Samoa,Bioenergy,15711.0,kWh,Energy,0.01,9,2023-05-27,Bioenergy_Energy
American Samoa,Primary non-metallic minerals products,650669.01,metric_ton,Minerals and mining,0.01,12,2023-05-16,Primary_non_metallic_minerals_products_Minerals_and_mining
American Samoa,Primary metallic minerals products,100798.0,metric_ton,Minerals and mining,0.13,2,2023-05-10,Primary_metallic_minerals_products_Minerals_and_mining
Andorra,Miscellaneous metal products,25180.0,kg,Minerals and mining,0.2,2,2023-05-08,Miscellaneous_metal_products_Minerals_and_mining
Andorra,Bioenergy,10430.0,kWh,Energy,0.02,2,2023-05-22,Bioenergy_Energy
Andorra,Primary manufacturing,875911.0,kWh,Minerals and mining,0.04,13,2023-05-17,Primary_manufacturing_Minerals_and_mining
Andorra,Biofuels,3640.0,L,Energy,0.12,0,2023-05-02,Biofuels_Energy
Andorra,Services,205475.04,hr,Minerals and mining,0.16,3,2023-05-07,Services_Minerals_and_mining
Andorra,Services and custom work,162886.88999999998,hr,Minerals and mining,0.01,3,2023-05-14,Services_and_custom_work_Minerals_and_mining
Andorra,Extraction,111573.75,metric_ton,Forestry,0.14,3,2023-05-21,Extraction_Forestry
Andorra,Other refined petroleum and coal products,6673.0,gallon,Energy,0.16,3,2023-05-11,Other_refined_petroleum_and_coal_products_Energy
Andorra,Refined petroleum products (fuels and lubricants),581336.7365754303,gallon,Energy,0.11,6,2023-05-26,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Andorra,Coal,73113.38433386979,short_ton,Minerals and mining,0.04,0,2023-05-08,Coal_Minerals_and_mining
Angola,Services,1102073.28,hr,Energy,0.01,3,2023-05-03,Services_Energy
Angola,Primary sawmill and wood products,400984.2648,ft,Forestry,0.02,13,2023-05-27,Primary_sawmill_and_wood_products_Forestry
Angola,Services,6479.535,hr,Forestry,0.08,1,2023-05-17,Services_Forestry
Angola,Electricity,152293.9422623656,kWh,Energy,0.12,10,2023-05-28,Electricity_Energy
Angola,Coal,110074.0757071364,short_ton,Minerals and mining,0.14,1,2023-05-12,Coal_Minerals_and_mining
Angola,Extraction,2254942.816784,ton,Minerals and mining,0.07,0,2023-05-11,Extraction_Minerals_and_mining
Angola,Other refined petroleum and coal products,103506.08996119308,gallon,Energy,0.15,10,2023-05-25,Other_refined_petroleum_and_coal_products_Energy
Angola,Primary manufacturing,657485.750727999,kWh,Forestry,0.13,4,2023-05-09,Primary_manufacturing_Forestry
Angola,Primary pulp and paper products,329006.0,metric_ton,Forestry,0.09,4,2023-05-06,Primary_pulp_and_paper_products_Forestry
Angola,Refined petroleum products (fuels and lubricants),182371.08594841775,gallon,Energy,0.05,2,2023-05-22,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Angola,Primary forestry bioproducts,4274.0,metric_ton,Forestry,0.08,11,2023-05-26,Primary_forestry_bioproducts_Forestry
Angola,Extraction,82941.21,metric_ton,Forestry,0.06,2,2023-05-02,Extraction_Forestry
Anguilla,Secondary metal products,173858.32668,ton,Minerals and mining,0.73,4,2023-05-05,Secondary_metal_products_Minerals_and_mining
Anguilla,Primary non-metallic minerals products,413083.663043084,metric_ton,Minerals and mining,0.27,2,2023-05-11,Primary_non_metallic_minerals_products_Minerals_and_mining
Antarctica,Primary pulp and paper products,57534.0,metric_ton,Forestry,0.21,2,2023-05-08,Primary_pulp_and_paper_products_Forestry
Antarctica,Primary forestry bioproducts,6637.0,metric_ton,Forestry,0.04,1,2023-05-27,Primary_forestry_bioproducts_Forestry
Antarctica,Electricity,3295406.0,kWh,Energy,0.28,1,2023-05-09,Electricity_Energy
Antarctica,Bioenergy and biofuel (from forestry biomass),1241.0167247405168,gallon,Forestry,0.28,3,2023-05-24,Bioenergy_and_biofuel_(from_forestry_biomass)_Forestry
Antarctica,Secondary wood products,240730.0,lb,Forestry,0.03,1,2023-05-02,Secondary_wood_products_Forestry
Antarctica,Metallic minerals,1141691.3800000001,metric_ton,Minerals and mining,0.16,2,2023-05-03,Metallic_minerals_Minerals_and_mining
Antigua and Barbuda,Secondary metal products,113810.0,ton,Minerals and mining,0.09,7,2023-05-18,Secondary_metal_products_Minerals_and_mining
Antigua and Barbuda,Primary forestry bioproducts,11936.93,metric_ton,Forestry,0.15,11,2023-05-25,Primary_forestry_bioproducts_Forestry
Antigua and Barbuda,Crude oil,2511730.8260540003,L,Energy,0.01,0,2023-05-26,Crude_oil_Energy
Antigua and Barbuda,Primary metallic minerals products,470215.14,metric_ton,Minerals and mining,0.08,4,2023-05-10,Primary_metallic_minerals_products_Minerals_and_mining
Antigua and Barbuda,Services and custom work,20200.32,hr,Forestry,0.01,4,2023-05-12,Services_and_custom_work_Forestry
Antigua and Barbuda,Extraction,2390402.75998832,ton,Minerals and mining,0.12,10,2023-05-26,Extraction_Minerals_and_mining
Antigua and Barbuda,Secondary wood products,28307.377555159703,lb,Forestry,0.13,2,2023-05-29,Secondary_wood_products_Forestry
Antigua and Barbuda,Services and custom work,153755.63999999998,hr,Minerals and mining,0.15,2,2023-05-04,Services_and_custom_work_Minerals_and_mining
Antigua and Barbuda,Primary manufacturing,1127074.5726959205,kWh,Forestry,0.1,1,2023-05-19,Primary_manufacturing_Forestry
Antigua and Barbuda,Refined petroleum products (fuels and lubricants),310513.8022037242,gallon,Energy,0.16,3,2023-05-03,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Argentina,Primary metallic minerals products,195434.0,metric_ton,Minerals and mining,0.16,4,2023-05-13,Primary_metallic_minerals_products_Minerals_and_mining
Argentina,Refined petroleum products (fuels and lubricants),654401.3092373083,gallon,Energy,0.2,2,2023-05-13,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Argentina,Tertiary metal products,271453.26101124,ton,Minerals and mining,0.07,10,2023-05-29,Tertiary_metal_products_Minerals_and_mining
Argentina,Coal,96079.50201113342,short_ton,Minerals and mining,0.14,3,2023-05-26,Coal_Minerals_and_mining
Argentina,Services,314699.39999999997,hr,Forestry,0.16,3,2023-05-12,Services_Forestry
Argentina,Crude oil,103403.0,L,Energy,0.02,1,2023-05-06,Crude_oil_Energy
Argentina,Extraction,731745.0,ton,Minerals and mining,0.08,5,2023-05-23,Extraction_Minerals_and_mining
Argentina,Primary manufacturing,1618697.0,kWh,Energy,0.01,11,2023-05-25,Primary_manufacturing_Energy
Argentina,Bioenergy and biofuel (from forestry biomass),6386.003008921093,gallon,Forestry,0.16,4,2023-05-05,Bioenergy_and_biofuel_(from_forestry_biomass)_Forestry
Armenia,Services and custom work,11724.525,hr,Minerals and mining,0.07,3,2023-05-05,Services_and_custom_work_Minerals_and_mining
Armenia,Other refined petroleum and coal products,58163.028575504366,gallon,Energy,0.08,5,2023-05-21,Other_refined_petroleum_and_coal_products_Energy
Armenia,Bioenergy,1886.0,kWh,Energy,0.03,7,2023-05-28,Bioenergy_Energy
Armenia,Metallic minerals,871834.0,metric_ton,Minerals and mining,0.09,10,2023-05-22,Metallic_minerals_Minerals_and_mining
Armenia,Bioenergy and biofuel (from forestry biomass),10647.598014481917,gallon,Forestry,0.32,4,2023-05-14,Bioenergy_and_biofuel_(from_forestry_biomass)_Forestry
Armenia,Primary metallic minerals products,555123.0,metric_ton,Minerals and mining,0.41,12,2023-05-16,Primary_metallic_minerals_products_Minerals_and_mining
Aruba,Services,274288.14,hr,Minerals and mining,0.09,9,2023-05-21,Services_Minerals_and_mining
Aruba,Primary manufacturing,223635.99999999997,kWh,Forestry,0.25,0,2023-05-06,Primary_manufacturing_Forestry
Aruba,Bioenergy and biofuel (from forestry biomass),325.00015321986257,gallon,Forestry,0.06,2,2023-05-29,Bioenergy_and_biofuel_(from_forestry_biomass)_Forestry
Aruba,Secondary metal products,10770.995632,ton,Minerals and mining,0.09,12,2023-05-18,Secondary_metal_products_Minerals_and_mining
Aruba,Services,270289.92,hr,Energy,0.1999999999999999,6,2023-05-21,Services_Energy
Aruba,Services and custom work,72144.18000000001,hr,Minerals and mining,0.25,11,2023-05-29,Services_and_custom_work_Minerals_and_mining
Aruba,Coal,283643.81930818583,short_ton,Minerals and mining,0.06,5,2023-05-25,Coal_Minerals_and_mining
Australia,Bioenergy and biofuel (from forestry biomass),2197.001035554933,gallon,Forestry,0.16,4,2023-05-24,Bioenergy_and_biofuel_(from_forestry_biomass)_Forestry
Australia,Bioenergy,10089.0,kWh,Energy,0.84,7,2023-05-27,Bioenergy_Energy
Austria,Extraction,2422819.08144309,kWh,Energy,0.1400000000000001,5,2023-05-29,Extraction_Energy
Austria,Primary pulp and paper products,355908.0,metric_ton,Forestry,0.19,3,2023-05-03,Primary_pulp_and_paper_products_Forestry
Austria,Primary metallic minerals products,404141.0,metric_ton,Minerals and mining,0.1,1,2023-05-26,Primary_metallic_minerals_products_Minerals_and_mining
Austria,Primary forestry bioproducts,11648.0,metric_ton,Forestry,0.16,4,2023-05-12,Primary_forestry_bioproducts_Forestry
Austria,Bioenergy and biofuel (from forestry biomass),7520.996026322115,gallon,Forestry,0.09,2,2023-05-22,Bioenergy_and_biofuel_(from_forestry_biomass)_Forestry
Austria,Primary manufacturing,1493211.0,kWh,Energy,0.2,5,2023-05-19,Primary_manufacturing_Energy
Austria,Extraction,825531.76,ton,Minerals and mining,0.12,0,2023-05-03,Extraction_Minerals_and_mining
Azerbaijan,Services,1759788000.0,hr,Minerals and mining,0.11,2,2023-05-13,Services_Minerals_and_mining
Azerbaijan,Secondary metal products,89647.0,ton,Minerals and mining,0.01,2,2023-05-23,Secondary_metal_products_Minerals_and_mining
Azerbaijan,Services and custom work,121401.795,hr,Minerals and mining,0.06,7,2023-05-18,Services_and_custom_work_Minerals_and_mining
Azerbaijan,Extraction,178662.77707,ton,Minerals and mining,0.07,1,2023-05-18,Extraction_Minerals_and_mining
Azerbaijan,Metallic minerals,412497.0,metric_ton,Minerals and mining,0.08,3,2023-05-10,Metallic_minerals_Minerals_and_mining
Azerbaijan,Primary non-metallic minerals products,582952.5244771019,metric_ton,Minerals and mining,0.11,1,2023-05-05,Primary_non_metallic_minerals_products_Minerals_and_mining
Azerbaijan,Crude oil,3262834.0,L,Energy,0.07,1,2023-05-15,Crude_oil_Energy
Azerbaijan,Services,683558.07,hr,Energy,0.03,3,2023-05-22,Services_Energy
Azerbaijan,Tertiary metal products,135531.0,ton,Minerals and mining,0.1,10,2023-05-18,Tertiary_metal_products_Minerals_and_mining
Azerbaijan,Miscellaneous metal products,306940.0,kg,Minerals and mining,0.01,12,2023-05-21,Miscellaneous_metal_products_Minerals_and_mining
Azerbaijan,Primary manufacturing,1256138.0,kWh,Minerals and mining,0.09,1,2023-05-08,Primary_manufacturing_Minerals_and_mining
Azerbaijan,Extraction,87120.92893536449,metric_ton,Forestry,0.12,9,2023-05-21,Extraction_Forestry
Azerbaijan,Secondary wood products,83107.99999999999,lb,Forestry,0.03,5,2023-05-18,Secondary_wood_products_Forestry
Azerbaijan,Biofuels,30514.96882368,L,Energy,0.0199999999999999,0,2023-05-06,Biofuels_Energy
Azerbaijan,Electricity,952687.9999999999,kWh,Energy,0.02,1,2023-05-23,Electricity_Energy
Azerbaijan,Refined petroleum products (fuels and lubricants),591611.2833220179,gallon,Energy,0.01,10,2023-05-16,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Azerbaijan,Other bioproducts (from forestry biomass),1881.0006647999999,kg,Forestry,0.06,11,2023-05-20,Other_bioproducts_(from_forestry_biomass)_Forestry
Bahamas (the),Extraction,96949.92091767848,metric_ton,Forestry,0.77,11,2023-05-16,Extraction_Forestry
Bahamas (the),Natural gas,340151.0,cubic_feet,Energy,0.23,1,2023-05-03,Natural_gas_Energy
Bahrain,Services,5411080800.0,hr,Energy,1.0,7,2023-05-23,Services_Energy
Bangladesh,Coal,65310.34124429551,short_ton,Minerals and mining,0.08,4,2023-05-14,Coal_Minerals_and_mining
Bangladesh,Secondary wood products,269669.6590768797,lb,Forestry,0.12,4,2023-05-22,Secondary_wood_products_Forestry
Bangladesh,Bioenergy and biofuel (from forestry biomass),8735.003605950213,gallon,Forestry,0.04,2,2023-05-10,Bioenergy_and_biofuel_(from_forestry_biomass)_Forestry
Bangladesh,Primary forestry bioproducts,2673.0,metric_ton,Forestry,0.01,13,2023-05-28,Primary_forestry_bioproducts_Forestry
Bangladesh,Other refined petroleum and coal products,1216.031819010358,gallon,Energy,0.09,2,2023-05-15,Other_refined_petroleum_and_coal_products_Energy
Bangladesh,Extraction,2125188.0,ton,Minerals and mining,0.11,0,2023-05-18,Extraction_Minerals_and_mining
Bangladesh,Biofuels,7253.0,L,Energy,0.07,5,2023-05-27,Biofuels_Energy
Bangladesh,Bioenergy,11744.995546289481,kWh,Energy,0.1,0,2023-05-12,Bioenergy_Energy
Bangladesh,Refined petroleum products (fuels and lubricants),29701.01399848365,gallon,Energy,0.1,1,2023-05-02,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Bangladesh,Petrochemicals,134894.89170261606,gallon,Energy,0.01,3,2023-05-10,Petrochemicals_Energy
Bangladesh,Services and custom work,426708000.0,hr,Minerals and mining,0.1,3,2023-05-10,Services_and_custom_work_Minerals_and_mining
Bangladesh,Electricity,1073369.593056693,kWh,Energy,0.01,3,2023-05-08,Electricity_Energy
Bangladesh,Extraction,26324.0,metric_ton,Forestry,0.1,9,2023-05-27,Extraction_Forestry
Bangladesh,Natural gas,341751.5623114194,cubic_feet,Energy,0.06,0,2023-05-03,Natural_gas_Energy
Barbados,Extraction,1640726.0,ton,Minerals and mining,0.19,0,2023-05-14,Extraction_Minerals_and_mining
Barbados,Services and custom work,2921.52,hr,Forestry,0.15,8,2023-05-25,Services_and_custom_work_Forestry
Barbados,Primary sawmill and wood products,954527.5896000001,ft,Forestry,0.31,2,2023-05-10,Primary_sawmill_and_wood_products_Forestry
Barbados,Primary manufacturing,1239093.5302269054,kWh,Minerals and mining,0.16,3,2023-05-14,Primary_manufacturing_Minerals_and_mining
Barbados,Services,907456.32,hr,Energy,0.19,12,2023-05-28,Services_Energy
Belarus,Primary sawmill and wood products,328419.99,ft,Forestry,0.01,4,2023-05-29,Primary_sawmill_and_wood_products_Forestry
Belarus,Biofuels,23612.9711849,L,Energy,0.14,9,2023-05-17,Biofuels_Energy
Belarus,Petrochemicals,26292.012389675096,gallon,Energy,0.02,11,2023-05-23,Petrochemicals_Energy
Belarus,Services,234490.5,hr,Forestry,0.1,4,2023-05-09,Services_Forestry
Belarus,Extraction,2167417.0,ton,Minerals and mining,0.15,1,2023-05-20,Extraction_Minerals_and_mining
Belarus,Bioenergy,12258.0,kWh,Energy,0.12,8,2023-05-26,Bioenergy_Energy
Belarus,Services and custom work,10632.960000000001,hr,Forestry,0.07,1,2023-05-07,Services_and_custom_work_Forestry
Belarus,Primary pulp and paper products,438472.98,metric_ton,Forestry,0.01,2,2023-05-20,Primary_pulp_and_paper_products_Forestry
Belarus,Services and custom work,131051.7,hr,Minerals and mining,0.16,3,2023-05-29,Services_and_custom_work_Minerals_and_mining
Belarus,Extraction,3438.11,metric_ton,Forestry,0.08,12,2023-05-29,Extraction_Forestry
Belarus,Primary non-metallic minerals products,308729.84,metric_ton,Minerals and mining,0.14,2,2023-05-13,Primary_non_metallic_minerals_products_Minerals_and_mining
Belgium,Secondary paper products,48642.0,metric_ton,Forestry,0.2,3,2023-05-06,Secondary_paper_products_Forestry
Belgium,Secondary wood products,204611.1924372564,lb,Forestry,0.05,13,2023-05-26,Secondary_wood_products_Forestry
Belgium,Secondary metal products,214174.52371,ton,Minerals and mining,0.25,0,2023-05-07,Secondary_metal_products_Minerals_and_mining
Belgium,Primary manufacturing,182409.0,kWh,Minerals and mining,0.06,0,2023-05-17,Primary_manufacturing_Minerals_and_mining
Belgium,Extraction,1327090.0,kWh,Energy,0.17,11,2023-05-21,Extraction_Energy
Belgium,Refined petroleum products (fuels and lubricants),194593.09295426385,gallon,Energy,0.01,4,2023-05-10,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Belgium,Other bioproducts (from forestry biomass),490.0,kg,Forestry,0.24,9,2023-05-18,Other_bioproducts_(from_forestry_biomass)_Forestry
Belgium,Electricity,231471.99999999997,kWh,Energy,0.02,2,2023-05-03,Electricity_Energy
Belize,Metallic minerals,1013713.0,metric_ton,Minerals and mining,0.09,4,2023-05-14,Metallic_minerals_Minerals_and_mining
Belize,Bioenergy and biofuel (from forestry biomass),4234.0,gallon,Forestry,0.04,3,2023-05-02,Bioenergy_and_biofuel_(from_forestry_biomass)_Forestry
Belize,Primary manufacturing,1094253.0,kWh,Forestry,0.18,4,2023-05-16,Primary_manufacturing_Forestry
Belize,Primary forestry bioproducts,1475.0,metric_ton,Forestry,0.14,13,2023-05-18,Primary_forestry_bioproducts_Forestry
Belize,Tertiary metal products,395576.09150752,ton,Minerals and mining,0.11,4,2023-05-25,Tertiary_metal_products_Minerals_and_mining
Belize,Primary pulp and paper products,380786.68938795704,metric_ton,Forestry,0.16,9,2023-05-26,Primary_pulp_and_paper_products_Forestry
Belize,Secondary wood products,53687.99999999999,lb,Forestry,0.14,2,2023-05-11,Secondary_wood_products_Forestry
Belize,Services,445626.96,hr,Energy,0.13,6,2023-05-28,Services_Energy
Belize,Non-metallic minerals,584306.5700000001,metric_ton,Minerals and mining,0.01,0,2023-05-09,Non_metallic_minerals_Minerals_and_mining
Benin,Bioenergy,6631.0,kWh,Energy,0.01,0,2023-05-06,Bioenergy_Energy
Benin,Secondary wood products,47311.24005714386,lb,Forestry,0.06,0,2023-05-15,Secondary_wood_products_Forestry
Benin,Bioenergy and biofuel (from forestry biomass),9024.004253172046,gallon,Forestry,0.09,8,2023-05-17,Bioenergy_and_biofuel_(from_forestry_biomass)_Forestry
Benin,Primary manufacturing,625903.0,kWh,Forestry,0.08,11,2023-05-26,Primary_manufacturing_Forestry
Benin,Secondary metal products,219545.05737,ton,Minerals and mining,0.04,2,2023-05-07,Secondary_metal_products_Minerals_and_mining
Benin,Electricity,2977968.0,kWh,Energy,0.09,12,2023-05-24,Electricity_Energy
Benin,Extraction,294070.043888,ton,Minerals and mining,0.08,9,2023-05-18,Extraction_Minerals_and_mining
Benin,Refined petroleum products (fuels and lubricants),622982.2143440207,gallon,Energy,0.01,4,2023-05-08,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Benin,Extraction,3779410.9999999995,kWh,Energy,0.01,0,2023-05-08,Extraction_Energy
Benin,Services and custom work,51979.2,hr,Forestry,0.07,4,2023-05-10,Services_and_custom_work_Forestry
Benin,Services,1206482400.0,hr,Minerals and mining,0.08,10,2023-05-21,Services_Minerals_and_mining
Benin,Tertiary metal products,1025793.0,ton,Minerals and mining,0.08,2,2023-05-26,Tertiary_metal_products_Minerals_and_mining
Benin,Crude oil,2960741.5864255005,L,Energy,0.03,1,2023-05-06,Crude_oil_Energy
Benin,Primary sawmill and wood products,518244.0,ft,Forestry,0.08,3,2023-05-20,Primary_sawmill_and_wood_products_Forestry
Benin,Primary forestry bioproducts,4533.81,metric_ton,Forestry,0.03,0,2023-05-13,Primary_forestry_bioproducts_Forestry
Benin,Other bioproducts (from forestry biomass),590.0,kg,Forestry,0.04,10,2023-05-17,Other_bioproducts_(from_forestry_biomass)_Forestry
Benin,Miscellaneous metal products,175501.85712256,kg,Minerals and mining,0.07,0,2023-05-15,Miscellaneous_metal_products_Minerals_and_mining
Benin,Services,317657.925,hr,Forestry,0.05,2,2023-05-06,Services_Forestry
Bermuda,Primary manufacturing,2327209.117691946,kWh,Energy,0.03,1,2023-05-11,Primary_manufacturing_Energy
Bermuda,Services and custom work,39449.04,hr,Forestry,0.03,8,2023-05-19,Services_and_custom_work_Forestry
Bermuda,Tertiary metal products,363693.99100496003,ton,Minerals and mining,0.03,0,2023-05-21,Tertiary_metal_products_Minerals_and_mining
Bermuda,Primary manufacturing,1341712.0,kWh,Forestry,0.1,4,2023-05-19,Primary_manufacturing_Forestry
Bermuda,Extraction,147980.8792903394,metric_ton,Forestry,0.1,7,2023-05-18,Extraction_Forestry
Bermuda,Metallic minerals,794615.0,metric_ton,Minerals and mining,0.03,2,2023-05-15,Metallic_minerals_Minerals_and_mining
Bermuda,Primary non-metallic minerals products,557270.0,metric_ton,Minerals and mining,0.02,0,2023-05-09,Primary_non_metallic_minerals_products_Minerals_and_mining
Bermuda,Secondary paper products,211949.11000000002,metric_ton,Forestry,0.02,2,2023-05-09,Secondary_paper_products_Forestry
Bermuda,Refined petroleum products (fuels and lubricants),268034.1263192098,gallon,Energy,0.07,0,2023-05-18,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Bermuda,Miscellaneous metal products,155060.0,kg,Minerals and mining,0.06,5,2023-05-25,Miscellaneous_metal_products_Minerals_and_mining
Bermuda,Primary pulp and paper products,279020.0,metric_ton,Forestry,0.06,0,2023-05-11,Primary_pulp_and_paper_products_Forestry
Bermuda,Secondary wood products,280075.4863401471,lb,Forestry,0.12,2,2023-05-14,Secondary_wood_products_Forestry
Bermuda,Other bioproducts (from forestry biomass),731.9976977599999,kg,Forestry,0.09,0,2023-05-26,Other_bioproducts_(from_forestry_biomass)_Forestry
Bermuda,Crude oil,270810.72864208,L,Energy,0.01,3,2023-05-17,Crude_oil_Energy
Bermuda,Services,1366313.04,hr,Energy,0.1,2,2023-05-26,Services_Energy
Bermuda,Primary manufacturing,806930.0,kWh,Minerals and mining,0.13,2,2023-05-07,Primary_manufacturing_Minerals_and_mining
Bhutan,Primary manufacturing,1035349.6074710023,kWh,Forestry,0.13,7,2023-05-17,Primary_manufacturing_Forestry
Bhutan,Services,1790886.495,hr,Energy,0.11,5,2023-05-25,Services_Energy
Bhutan,Refined petroleum products (fuels and lubricants),316134.1489878243,gallon,Energy,0.16,4,2023-05-02,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Bhutan,Bioenergy,15006.99431178614,kWh,Energy,0.19,1,2023-05-07,Bioenergy_Energy
Bhutan,Tertiary metal products,137791.38297,ton,Minerals and mining,0.17,1,2023-05-15,Tertiary_metal_products_Minerals_and_mining
Bhutan,Secondary paper products,10950.0,metric_ton,Forestry,0.24,2,2023-05-02,Secondary_paper_products_Forestry
Bolivia (Plurinational State of),Secondary paper products,1334.9,metric_ton,Forestry,0.0899999999999997,11,2023-05-28,Secondary_paper_products_Forestry
